commit	dice	memory_gb	status	description	command
9ee424f	0.642171	0.0	keep	baseline sphere random-init k=10 lr1e-3 (bare; stuck ~0.55, best@4250 transient spike)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10
9ee424f	0.638859	0.0	discard	sphere k-anneal k_init10 k_final20 (bare random)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 20
9ee424f	0.712019	0.0	discard	sphere k-anneal k_init10 k_final30 (bare random)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 30
9ee424f	0.762490	0.0	discard	sphere k-anneal k_init10 k_final50 (bare random)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 50
9ee424f	0.783797	0.0	keep	sphere k-anneal k_init10 k_final80 (bare random) BEST so far +0.142 vs baseline	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 80
9ee424f	0.634785	0.0	discard	sphere OP baseline (rf+w_len0.03+w_step0.001, k=10) — hard dice stuck ~0.55 (soft/hard gap; k=10 can't lift hard)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --init-mode raster_fine --w-len 0.03 --w-step 0.001
9ee424f	0.775227	0.0	discard	sphere OP + k-anneal k_init10 k_final50	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --init-mode raster_fine --w-len 0.03 --w-step 0.001 --k-anneal --k-init 10 --k-final 50
9ee424f	0.787636	0.0	discard	sphere OP + k-anneal k_init10 k_final80 (OP vs random ~same; k dominates)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --init-mode raster_fine --w-len 0.03 --w-step 0.001 --k-anneal --k-init 10 --k-final 80
9ee424f	0.773294	0.0	discard	sphere bare random k-anneal k_init10 k_final250 (too high; inverts)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 250
9ee424f	0.830405	0.0	keep	sphere bare random k-anneal k_init10 k_final150 BEST hard dice (closes soft/hard gap)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150
9ee424f	0.820768	0.0	keep	sphere k-anneal k80 seed2 (re-seed; k80 mean 0.800)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 80 --seed 2
9ee424f	0.794509	0.0	keep	sphere k-anneal k80 seed3 (re-seed; k80 mean 0.800)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 80 --seed 3
